"date","build_year","floors","sitting_rooms","dining_rooms","bedrooms","wardrobes","bathrooms","car_parking","ancillary","landsize","price","district","sector"
"2023-01-09 12:53:05",2023,2,1,1,2,3,2,5,3,"6500","600"," Gasabo"," Gisozi"
"2023-01-09 12:50:45",2023,1,1,1,3,3,3,5,1,"970","700"," Gasabo"," Kimironko"
"2023-01-06 08:34:12",2023,2,1,1,2,0,1,1,0,"500","250000"," Gasabo"," Kimironko"
"2023-01-06 07:36:15",2019,1,1,1,2,2,2,2,0,"600","1500"," Gasabo"," Kinyinya"
"2022-12-29 18:19:16",2022,2,1,1,2,2,2,2,0,"170","620"," Gasabo"," Remera"
"2022-12-23 16:32:56",2022,0,1,1,3,3,2,3,0,"400","800"," Gasabo"," Gisozi"
"2022-12-22 14:05:32",2022,0,1,1,2,2,2,4,0,"500","800"," Gasabo"," Kinyinya"
"2022-12-21 15:50:08",2022,0,1,1,2,0,2,10,0,"1500","2500000"," Gasabo"," Kinyinya"
"2022-12-16 15:25:31",2020,1,1,1,2,2,2,4,0,"2000","600"," Gasabo"," Kinyinya"
"2022-12-11 09:53:04",2022,2,1,1,2,3,2,4,3,"3450","600"," Gasabo"," Gisozi"
"2022-12-08 18:37:19",2022,3,1,1,2,2,2,4,0,"5050","700"," Gasabo"," Kimironko"
"2022-12-05 09:32:46",2022,2,1,1,2,2,3,4,0,"816","500000"," Kicukiro"," Kagarama"
"2022-11-30 10:07:19",2022,3,1,1,3,2,2,7,0,"1800","800"," Gasabo"," Gisozi"
"2022-11-28 07:59:36",2022,0,1,1,5,5,3,6,0,"1000","1500"," Kicukiro"," Gikondo"
"2022-11-21 11:33:22",2022,2,1,1,2,2,2,4,3,"25874","600"," Gasabo"," Gisozi"
"2022-11-14 11:32:01",2022,0,1,1,2,2,2,2,0,"700","800"," Gasabo"," Kacyiru"
"2022-11-14 11:30:22",2022,1,1,1,2,2,3,5,0,"700","900"," Gasabo"," Kacyiru"
"2022-11-14 09:28:13",2022,1,1,1,3,3,4,5,0,"700","1000"," Gasabo"," Kacyiru"
"2022-11-13 09:21:18",2022,2,1,1,2,2,3,4,0,"4976","500000"," Kicukiro"," Kagarama"
"2022-11-13 09:19:06",2022,2,1,1,3,3,3,4,0,"4865","600000"," Kicukiro"," Kagarama"
"2022-11-06 11:42:16",2022,2,1,1,2,2,2,5,0,"2142","250000"," Gasabo"," Kimironko"
"2022-11-06 11:15:12",2022,1,1,1,2,2,1,1,0,"400","300000"," Gasabo"," Kimironko"
"2022-11-06 11:14:50",2022,3,1,1,2,2,2,2,0,"622","700000"," Gasabo"," Remera"
"2022-11-04 08:09:53",2020,1,1,1,3,3,3,2,0,"1000","2000"," Gasabo"," Remera"
"2022-11-03 14:11:17",2018,1,1,1,3,3,3,2,0,"400","1000"," Gasabo"," Kimironko"
"2022-11-02 11:46:18",2022,0,1,1,2,2,2,3,0,"400","600"," Gasabo"," Kacyiru"
"2022-10-29 21:11:48",2022,2,1,1,3,3,5,3,0,"742","400000"," Kicukiro"," Niboye"
"2022-10-28 07:18:32",2022,0,1,1,3,3,3,0,0,"400","450"," Kicukiro"," Gikondo"
"2022-10-27 12:06:38",2022,0,1,1,1,1,1,3,0,"300","500"," Gasabo"," Kinyinya"
"2022-10-24 20:59:36",2022,0,1,1,4,4,2,2,0,"400","700"," Kicukiro"," Niboye"
"2022-10-24 14:06:04",2022,1,1,1,2,2,2,5,0,"700","500"," Gasabo"," Remera"
"2022-10-24 14:06:00",2017,1,1,1,3,3,3,3,0,"550","1000"," Gasabo"," Kimironko"
"2022-10-24 12:28:20",2020,3,1,0,2,2,0,10,0,"1200","700"," Gasabo"," Kimironko"
"2022-10-24 12:28:18",2017,3,1,1,2,0,2,5,0,"1000","700"," Gasabo"," Kacyiru"
"2022-10-23 11:46:41",2022,2,1,1,2,3,2,5,2,"75438","600"," Gasabo"," Gisozi"
"2022-10-23 11:44:01",2022,2,1,1,2,2,3,2,0,"846","300000"," Kicukiro"," Kagarama"
"2022-10-23 10:59:54",2022,1,1,1,1,3,1,6,2,"65437","400"," Gasabo"," Kacyiru"
"2022-10-20 15:52:48",2012,1,1,1,3,3,3,6,0,"1718","1200"," Kicukiro"," Kagarama"
"2022-10-19 09:34:34",2022,1,1,1,2,2,2,0,0,"752","500"," Gasabo"," Remera"
"2022-10-13 12:45:11",2022,0,1,1,2,2,2,3,0,"600","650"," Gasabo"," Remera"
"2022-10-08 10:57:38",2022,0,1,1,1,1,1,4,0,"400","700"," Kicukiro"," Gikondo"
"2022-10-08 10:43:33",2022,2,1,1,2,0,2,2,0,"800","550"," Gasabo"," Kacyiru"
"2022-09-30 17:24:46",2022,0,1,1,2,1,2,3,0,"600","300"," Gasabo"," Kimironko"
"2022-09-22 23:38:20",2022,0,1,1,3,3,2,4,0,"500","700"," Gasabo"," Remera"
"2022-09-22 15:47:45",2016,0,1,1,2,2,1,10,0,"1000","700"," Gasabo"," Kimironko"
"2022-09-22 15:47:45",2018,2,1,1,2,2,2,10,0,"120","800"," Gasabo"," Kinyinya"
"2022-09-21 11:41:30",2022,0,1,1,2,2,2,7,0,"2000","650"," Kicukiro"," Kicukiro"
"2022-09-21 10:50:43",2022,0,1,1,2,2,2,3,0,"400","600"," Kicukiro"," Gikondo"
"2022-09-21 10:49:47",2022,0,1,1,2,2,2,3,0,"450","700"," Gasabo"," Kimihurura"
"2022-09-21 10:46:04",2022,1,1,1,3,3,3,2,0,"333","700"," Gasabo"," Remera"
"2022-09-19 17:31:51",2022,0,1,1,2,2,1,3,0,"400","500"," Kicukiro"," Kicukiro"
"2022-09-19 17:30:19",2022,0,1,1,1,1,1,3,0,"400","500"," Kicukiro"," Gikondo"
